Subject,Release,Acquisition,Gender,Age,3T_Full_MR_Compl,7T_Full_MR_Compl,MEG_FullProt_Compl,DDisc_AUC_200,DDisc_AUC_40K
123521,S900,Q10,M,22-25,true,false,false,0.16386876,0.6546877
123723,S1200,Q09,F,31-35,true,false,false,0.08379062,0.117578335
123925,S500,Q05,F,26-30,true,false,false,0.09264479,0.7312502
124220,S500,Q05,M,31-35,true,false,false,0.19694167,0.26822937
124422,Q2,Q03,F,31-35,true,false,false,0.018426042,0.022005416
124624,S900,Q09,F,26-30,true,false,false,0.121290624,0.42617208
124826,S500,Q06,F,31-35,true,false,false,0.274025,0.5855471
125222,S1200,Q12,M,26-30,true,false,false,0.7128271,0.7010419
125424,S1200,Q11,F,31-35,true,false,false,0.29394686,0.3406252
125525,Q1,Q01,F,31-35,true,true,false,0.22116041,0.55585957
126325,Q3,Q03,F,26-30,true,false,false,0.27467605,0.600521
126426,S1200,Q12,F,31-35,true,true,false,0.11686354,0.10481792
126628,S500,Q04,M,31-35,true,false,false,0.44707188,0.84921896
127226,S1200,Q08,M,22-25,true,false,false,0.16699375,0.44544291
127630,S500,Q06,F,22-25,true,false,false,0.28691563,0.6968752
127832,S1200,Q09,F,31-35,true,false,false,0.15800938,0.91783875
127933,Q3,Q03,M,31-35,true,false,false,0.35735834,0.5390627
128026,S900,Q10,F,26-30,true,false,false,0.39342603,0.9593752
128127,S500,Q05,F,26-30,true,false,false,0.38535312,0.8906252
128632,Q1,Q02,F,31-35,true,false,false,0.69069165,0.74427104
128935,S900,Q09,M,31-35,true,true,false,0.7360042,0.9500002
129028,Q2,Q03,M,26-30,true,false,false,0.6940771,0.7765627
129129,S900,Q07,F,31-35,true,false,false,0.21959792,0.6031252
129331,S900,Q09,F,26-30,true,false,false,0.607749,0.45104188
129634,S900,Q11,M,22-25,true,false,false,0.09459791,0.33177105
130013,Q1,Q01,M,26-30,true,false,false,0.11178542,0.11575542
130114,S1200,Q08,M,26-30,true,true,false,0.35162917,0.72916687
130316,Q3,Q03,F,26-30,true,false,false,0.20787917,0.08828146
130417,S900,Q07,M,26-30,true,false,false,0.039389584,0.21614604
130518,S1200,Q07,F,31-35,true,true,false,0.045379166,0.12083354
130619,S900,Q10,F,26-30,true,false,false,0.11412916,0.5455731
130720,S1200,Q13,M,31-35,true,false,false,0.49720207,0.76796895
130821,S900,Q10,F,22-25,true,false,false,0.044597916,0.14166687
131217,S500,Q06,F,26-30,true,true,false,0.32350418,0.86523455
131419,S900,Q09,F,26-30,true,false,false,0.19954583,0.6665367
131722,S500,Q06,F,26-30,true,true,false,0.16048333,0.42434916
131823,S900,Q11,M,26-30,true,false,false,0.79941565,0.43828145
131924,Q3,Q03,M,22-25,true,false,false,0.11009271,0.14531271
132017,S900,Q08,F,22-25,true,false,false,0.26412916,0.25989604
